time,ac_in_power(Wh),ac_out_power(Wh),automatic_door_power(Wh)
2024-04-15 00:00:00,1378.0,2440.0,503.0
2024-04-15 01:00:00,1395.0,10217.0,527.0
2024-04-15 02:00:00,1405.0,8343.0,520.0
2024-04-15 03:00:00,1406.0,4699.0,518.0
2024-04-15 04:00:00,1408.0,9898.0,510.0
2024-04-15 05:00:00,1386.0,6944.0,502.0
2024-04-15 06:00:00,1407.0,6617.0,506.0
2024-04-15 07:00:00,1395.0,8402.0,514.0
2024-04-15 08:00:00,1395.0,6806.0,520.0
2024-04-15 09:00:00,1481.0,51710.0,640.0
2024-04-15 10:00:00,1421.0,6844.0,595.0
2024-04-15 11:00:00,1418.0,2804.0,631.0
2024-04-15 12:00:00,1462.0,26999.0,517.0
2024-04-15 13:00:00,1475.0,21752.0,646.0
2024-04-15 14:00:00,1818.0,73676.0,579.0
2024-04-15 15:00:00,3372.0,99911.0,610.0
2024-04-15 16:00:00,4030.0,115553.0,698.0
2024-04-15 17:00:00,4042.0,117554.0,598.0
2024-04-15 18:00:00,3454.0,93791.0,587.0
2024-04-15 19:00:00,2382.0,57838.0,538.0
2024-04-15 20:00:00,2381.0,64127.0,513.0
2024-04-15 21:00:00,2386.0,59617.0,513.0
2024-04-15 22:00:00,2248.0,51393.0,507.0
2024-04-15 23:00:00,1965.0,35933.0,523.0
2024-04-16 00:00:00,1413.0,5403.0,516.0
2024-04-16 01:00:00,1415.0,12405.0,512.0
2024-04-16 02:00:00,1410.0,3417.0,524.0
2024-04-16 03:00:00,1407.0,6605.0,518.0
2024-04-16 04:00:00,1392.0,12246.0,510.0
2024-04-16 05:00:00,1410.0,2690.0,524.0
2024-04-16 06:00:00,1405.0,7333.0,510.0
2024-04-16 07:00:00,1416.0,12273.0,520.0
2024-04-16 08:00:00,1410.0,3467.0,523.0
2024-04-16 09:00:00,1653.0,35183.0,596.0
2024-04-16 10:00:00,1769.0,73512.0,603.0
2024-04-16 11:00:00,2205.0,82806.0,702.0
2024-04-16 12:00:00,3783.0,140903.0,652.0
2024-04-16 13:00:00,3855.0,137371.0,584.0
2024-04-16 14:00:00,5270.0,188711.0,546.0
2024-04-16 15:00:00,6212.0,186841.0,532.0
2024-04-16 16:00:00,4836.0,147995.0,671.0
2024-04-16 17:00:00,6788.0,157292.0,618.0
2024-04-16 18:00:00,4654.0,119633.0,565.0
2024-04-16 19:00:00,2535.0,87651.0,520.0
2024-04-16 20:00:00,2520.0,88498.0,520.0
2024-04-16 21:00:00,2532.0,89563.0,554.0
2024-04-16 22:00:00,2532.0,69415.0,516.0
2024-04-16 23:00:00,2547.0,65201.0,516.0
2024-04-17 00:00:00,2028.0,40529.0,580.0
2024-04-17 01:00:00,1434.0,8525.0,512.0
2024-04-17 02:00:00,1435.0,8798.0,522.0
2024-04-17 03:00:00,1437.0,4266.0,520.0
2024-04-17 04:00:00,1426.0,8210.0,512.0
2024-04-17 05:00:00,1422.0,8687.0,522.0
2024-04-17 06:00:00,1433.0,7063.0,512.0
2024-04-17 07:00:00,1436.0,7055.0,539.0
2024-04-17 08:00:00,1442.0,8532.0,595.0
2024-04-17 09:00:00,1935.0,35144.0,554.0
2024-04-17 10:00:00,1805.0,38892.0,578.0
2024-04-17 11:00:00,1418.0,2454.0,645.0
2024-04-17 12:00:00,1447.0,12242.0,594.0
2024-04-17 13:00:00,2549.0,129973.0,614.0
2024-04-17 14:00:00,1432.0,4754.0,664.0
2024-04-17 15:00:00,1429.0,3729.0,621.0
2024-04-17 16:00:00,2821.0,59278.0,622.0
2024-04-17 17:00:00,4023.0,100020.0,639.0
2024-04-17 18:00:00,3983.0,79616.0,620.0
2024-04-17 19:00:00,2500.0,93795.0,570.0
2024-04-17 20:00:00,2292.0,68662.0,545.0
2024-04-17 21:00:00,2302.0,67446.0,510.0
2024-04-17 22:00:00,2342.0,72437.0,516.0
2024-04-17 23:00:00,2352.0,76173.0,504.0
2024-04-18 00:00:00,2376.0,72136.0,509.0
2024-04-18 01:00:00,2372.0,66167.0,522.0
2024-04-18 02:00:00,1639.0,24852.0,520.0
2024-04-18 03:00:00,1431.0,6109.0,518.0
2024-04-18 04:00:00,1428.0,6716.0,508.0
2024-04-18 05:00:00,1431.0,9803.0,520.0
2024-04-18 06:00:00,1428.0,7322.0,511.0
2024-04-18 07:00:00,1435.0,6803.0,516.0
2024-04-18 08:00:00,1798.0,24911.0,546.0
2024-04-18 09:00:00,3900.0,120706.0,570.0
2024-04-18 10:00:00,3864.0,110769.0,542.0
2024-04-18 11:00:00,4506.0,132680.0,615.0
2024-04-18 12:00:00,5829.0,191187.0,591.0
2024-04-18 13:00:00,5792.0,169374.0,517.0
2024-04-18 14:00:00,5574.0,161186.0,656.0
2024-04-18 15:00:00,4880.0,145877.0,641.0
2024-04-18 16:00:00,4155.0,121512.0,384.0
2024-04-18 17:00:00,6012.0,161900.0,573.0
2024-04-18 18:00:00,4990.0,129127.0,577.0
2024-04-18 19:00:00,4974.0,126416.0,572.0
2024-04-18 20:00:00,5023.0,133757.0,541.0
2024-04-18 21:00:00,5858.0,155635.0,540.0
2024-04-18 22:00:00,4932.0,122669.0,545.0
2024-04-18 23:00:00,3697.0,97676.0,519.0
2024-04-19 00:00:00,1432.0,6729.0,518.0
2024-04-19 01:00:00,1430.0,7757.0,504.0
2024-04-19 02:00:00,1437.0,6449.0,520.0
2024-04-19 03:00:00,1437.0,6837.0,518.0
2024-04-19 04:00:00,1433.0,12004.0,508.0
2024-04-19 05:00:00,1435.0,5429.0,512.0
2024-04-19 06:00:00,1421.0,4348.0,504.0
2024-04-19 07:00:00,3155.0,69438.0,516.0
2024-04-19 08:00:00,10764.0,233201.0,512.0
2024-04-19 09:00:00,9935.0,248907.0,545.0
2024-04-19 10:00:00,7832.0,208001.0,628.0
2024-04-19 11:00:00,7580.0,240325.0,632.0
2024-04-19 12:00:00,7475.0,166655.0,621.0
2024-04-19 13:00:00,7420.0,167216.0,595.0
2024-04-19 14:00:00,7409.0,195891.0,533.0
2024-04-19 15:00:00,7410.0,165996.0,578.0
2024-04-19 16:00:00,7326.0,164332.0,681.0
2024-04-19 17:00:00,7377.0,161986.0,564.0
2024-04-19 18:00:00,7385.0,178494.0,584.0
2024-04-19 19:00:00,7324.0,151912.0,542.0
2024-04-19 20:00:00,7316.0,154915.0,556.0
2024-04-19 21:00:00,7274.0,133266.0,504.0
2024-04-19 22:00:00,7229.0,170148.0,504.0
2024-04-19 23:00:00,4788.0,94159.0,498.0
2024-04-20 00:00:00,1411.0,6488.0,512.0
2024-04-20 01:00:00,1417.0,3780.0,524.0
2024-04-20 02:00:00,1407.0,7677.0,514.0
2024-04-20 03:00:00,1431.0,10766.0,526.0
2024-04-20 04:00:00,1435.0,2294.0,510.0
2024-04-20 05:00:00,1415.0,11245.0,508.0
2024-04-20 06:00:00,1411.0,7747.0,520.0
2024-04-20 07:00:00,1395.0,3468.0,508.0
2024-04-20 08:00:00,1404.0,12292.0,530.0
2024-04-20 09:00:00,1406.0,6109.0,514.0
2024-04-20 10:00:00,1414.0,6113.0,516.0
2024-04-20 11:00:00,1423.0,11681.0,516.0
2024-04-20 12:00:00,1407.0,2484.0,543.0
2024-04-20 13:00:00,1393.0,10400.0,523.0
2024-04-20 14:00:00,1405.0,9658.0,510.0
2024-04-20 15:00:00,1417.0,2628.0,556.0
2024-04-20 16:00:00,1405.0,11340.0,542.0
2024-04-20 17:00:00,2597.0,78837.0,506.0
2024-04-20 18:00:00,2330.0,86027.0,502.0
2024-04-20 19:00:00,2344.0,63953.0,500.0
2024-04-20 20:00:00,2341.0,73040.0,520.0
2024-04-20 21:00:00,2330.0,74753.0,516.0
2024-04-20 22:00:00,2310.0,81928.0,508.0
2024-04-20 23:00:00,2352.0,73469.0,512.0
2024-04-21 00:00:00,2367.0,72526.0,517.0
2024-04-21 01:00:00,1826.0,38863.0,524.0
2024-04-21 02:00:00,1417.0,2476.0,524.0
2024-04-21 03:00:00,1408.0,9759.0,514.0
2024-04-21 04:00:00,1415.0,10122.0,516.0
2024-04-21 05:00:00,1390.0,4185.0,508.0
2024-04-21 06:00:00,1398.0,7596.0,512.0
2024-04-21 07:00:00,1407.0,10568.0,518.0
2024-04-21 08:00:00,1405.0,6780.0,512.0
2024-04-21 09:00:00,1413.0,7766.0,512.0
2024-04-21 10:00:00,1405.0,7563.0,512.0
2024-04-21 11:00:00,1393.0,6835.0,522.0
2024-04-21 12:00:00,1404.0,10573.0,508.0
2024-04-21 13:00:00,1616.0,50270.0,513.0
2024-04-21 14:00:00,1801.0,28865.0,501.0
2024-04-21 15:00:00,3050.0,117511.0,513.0
2024-04-21 16:00:00,3048.0,106951.0,624.0
2024-04-21 17:00:00,3701.0,99861.0,550.0
2024-04-21 18:00:00,5394.0,113293.0,512.0
2024-04-21 19:00:00,2470.0,42966.0,542.0
2024-04-21 20:00:00,1428.0,2686.0,553.0
2024-04-21 21:00:00,1420.0,3953.0,518.0
2024-04-21 22:00:00,1409.0,12326.0,490.0
2024-04-21 23:00:00,1402.0,7331.0,502.0
2024-04-22 00:00:00,2620.0,14060.0,516.0
2024-04-22 01:00:00,3967.0,8688.0,510.0
2024-04-22 02:00:00,2081.0,9858.0,516.0
2024-04-22 03:00:00,1419.0,2349.0,516.0
2024-04-22 04:00:00,1418.0,11404.0,518.0
2024-04-22 05:00:00,1415.0,7575.0,500.0
2024-04-22 06:00:00,1419.0,3234.0,510.0
2024-04-22 07:00:00,1424.0,13227.0,509.0
2024-04-22 08:00:00,1417.0,5097.0,555.0
2024-04-22 09:00:00,1434.0,6330.0,606.0
2024-04-22 10:00:00,3401.0,44491.0,598.0
2024-04-22 11:00:00,5120.0,139665.0,731.0
2024-04-22 12:00:00,3849.0,1349.0,616.0
2024-04-22 13:00:00,1422.0,6602.0,608.0
