time,cumulative,average_temperature(°C),average_humidity(%),average_co2(ppm),average_illumination(lux)
2024-04-15 01:00:00,0.0,3.175,3.869,6.451,4.233
2024-04-15 02:00:00,0.0,3.149,3.89,6.416,2.065
2024-04-15 03:00:00,0.0,3.146,3.882,6.382,0.0
2024-04-15 04:00:00,0.0,3.142,3.878,6.365,0.0
2024-04-15 05:00:00,0.0,3.133,3.879,6.346,0.0
2024-04-15 06:00:00,0.0,3.13,3.881,6.33,0.0
2024-04-15 07:00:00,0.0,3.136,3.885,6.315,0.038
2024-04-15 08:00:00,0.0,3.142,3.913,6.32,3.564
2024-04-15 09:00:00,0.0,3.152,3.922,6.357,4.181
2024-04-15 10:00:00,0.304,3.166,3.947,6.927,4.133
2024-04-15 11:00:00,0.373,3.174,3.919,7.254,4.203
2024-04-15 12:00:00,0.0,3.18,3.935,7.442,4.218
2024-04-15 13:00:00,0.405,3.191,3.965,7.442,4.22
2024-04-15 14:00:00,0.049,3.206,4.018,7.204,4.212
2024-04-15 15:00:00,0.087,3.227,4.035,7.204,4.222
2024-04-15 16:00:00,0.325,3.226,3.999,7.204,4.232
2024-04-15 17:00:00,1.219,3.205,3.996,7.204,4.22
2024-04-15 18:00:00,0.289,3.202,4.023,7.204,4.201
2024-04-15 19:00:00,0.0,3.197,4.026,7.204,4.179
2024-04-15 20:00:00,0.31,3.188,4.029,7.204,4.231
2024-04-15 21:00:00,0.31,3.179,4.027,6.935,4.234
2024-04-15 22:00:00,0.0,3.17,4.045,6.726,4.234
2024-04-15 23:00:00,0.0,3.153,4.073,6.613,4.232
2024-04-16 00:00:00,0.0,3.151,4.06,6.64,3.665
2024-04-16 01:00:00,0.0,3.145,4.068,6.594,0.0
2024-04-16 02:00:00,0.0,3.131,4.084,6.52,0.0
2024-04-16 03:00:00,0.0,3.128,4.083,6.406,0.0
2024-04-16 04:00:00,0.0,3.117,4.097,6.303,0.0
2024-04-16 05:00:00,0.0,3.118,4.094,6.276,0.0
2024-04-16 06:00:00,0.0,3.129,4.079,6.263,0.0
2024-04-16 07:00:00,0.0,3.134,4.064,6.249,0.419
2024-04-16 08:00:00,0.0,3.138,4.055,6.277,3.191
2024-04-16 09:00:00,0.0,3.141,4.058,6.295,4.184
2024-04-16 10:00:00,0.343,3.148,4.055,6.744,4.17
2024-04-16 11:00:00,0.392,3.169,4.047,6.893,4.197
2024-04-16 12:00:00,0.0,3.196,4.025,6.945,4.195
2024-04-16 13:00:00,0.255,3.201,3.969,6.544,4.185
2024-04-16 14:00:00,0.49,3.196,3.949,6.886,4.18
2024-04-16 15:00:00,0.384,3.203,3.929,6.988,4.198
2024-04-16 16:00:00,0.357,3.202,3.882,6.376,4.218
2024-04-16 17:00:00,0.323,3.211,3.793,6.492,4.231
2024-04-16 18:00:00,0.296,3.227,3.682,6.723,4.192
2024-04-16 19:00:00,0.0,3.22,3.626,6.63,4.214
2024-04-16 20:00:00,0.318,3.196,3.561,6.379,4.234
2024-04-16 21:00:00,1.012,3.183,3.617,6.522,4.231
2024-04-16 22:00:00,1.417,3.175,3.66,6.505,4.234
2024-04-16 23:00:00,1.417,3.166,3.67,6.533,4.233
2024-04-17 00:00:00,1.417,3.161,3.677,6.496,4.224
2024-04-17 01:00:00,1.417,3.157,3.667,6.378,3.519
2024-04-17 02:00:00,1.417,3.156,3.616,6.278,0.0
2024-04-17 03:00:00,1.417,3.151,3.605,6.252,0.0
2024-04-17 04:00:00,1.417,3.139,3.614,6.254,0.0
2024-04-17 05:00:00,1.417,3.135,3.618,6.245,0.0
2024-04-17 06:00:00,1.417,3.134,3.622,6.25,-1.808
2024-04-17 07:00:00,1.417,3.128,3.629,6.263,0.35
2024-04-17 08:00:00,1.417,3.126,3.624,6.278,3.716
2024-04-17 09:00:00,1.417,3.133,3.619,6.293,4.201
2024-04-17 10:00:00,1.612,3.15,3.66,6.611,4.183
2024-04-17 11:00:00,1.836,3.17,3.648,6.66,4.19
2024-04-17 12:00:00,0.942,3.193,3.614,6.662,4.181
2024-04-17 13:00:00,1.313,3.196,3.576,6.396,4.198
2024-04-17 14:00:00,1.654,3.205,3.591,6.649,4.2
2024-04-17 15:00:00,1.396,3.22,3.584,6.664,4.183
2024-04-17 16:00:00,1.542,3.235,3.603,6.695,4.197
2024-04-17 17:00:00,1.495,3.24,3.618,6.674,4.178
2024-04-17 18:00:00,1.7,3.223,3.649,6.727,4.2
