time,total_power(Wh)
2024-04-15 00:00:00,2234.5
2024-04-15 01:00:00,6152.5
2024-04-15 02:00:00,5315.5
2024-04-15 03:00:00,3457.5
2024-04-15 04:00:00,6012.5
2024-04-15 05:00:00,4620.0
2024-04-15 06:00:00,4403.0
2024-04-15 07:00:00,5291.0
2024-04-15 08:00:00,4500.0
2024-04-15 09:00:00,27193.0
2024-04-15 10:00:00,4569.0
2024-04-15 11:00:00,2577.0
2024-04-15 12:00:00,14635.0
2024-04-15 13:00:00,11375.0
2024-04-15 14:00:00,37959.0
2024-04-15 15:00:00,51514.0
2024-04-15 16:00:00,60389.0
2024-04-15 17:00:00,61168.0
2024-04-15 18:00:00,49459.5
2024-04-15 19:00:00,30552.0
2024-04-15 20:00:00,33506.0
2024-04-15 21:00:00,31696.0
2024-04-15 22:00:00,29096.5
2024-04-15 23:00:00,19477.0
2024-04-16 00:00:00,3719.5
2024-04-16 01:00:00,7291.5
2024-04-16 02:00:00,2901.0
2024-04-16 03:00:00,4307.5
2024-04-16 04:00:00,7278.5
2024-04-16 05:00:00,2490.0
2024-04-16 06:00:00,4663.0
2024-04-16 07:00:00,7227.0
2024-04-16 08:00:00,2953.5
2024-04-16 09:00:00,18406.0
2024-04-16 10:00:00,38226.0
2024-04-16 11:00:00,41408.0
2024-04-16 12:00:00,75080.5
2024-04-16 13:00:00,70538.5
2024-04-16 14:00:00,96583.5
2024-04-16 15:00:00,97174.0
2024-04-16 16:00:00,77764.5
2024-04-16 17:00:00,82247.5
2024-04-16 18:00:00,62831.5
2024-04-16 19:00:00,45469.0
2024-04-16 20:00:00,45905.5
2024-04-16 21:00:00,46854.0
2024-04-16 22:00:00,36218.5
2024-04-16 23:00:00,34111.0
2024-04-17 00:00:00,21539.0
2024-04-17 01:00:00,5353.5
2024-04-17 02:00:00,5546.0
2024-04-17 03:00:00,3251.0
2024-04-17 04:00:00,5137.0
2024-04-17 05:00:00,5507.5
2024-04-17 06:00:00,4655.5
2024-04-17 07:00:00,4655.5
2024-04-17 08:00:00,5404.5
2024-04-17 09:00:00,18205.5
2024-04-17 10:00:00,21664.5
2024-04-17 11:00:00,2402.5
2024-04-17 12:00:00,6006.5
2024-04-17 13:00:00,65358.5
2024-04-17 14:00:00,6256.0
2024-04-17 15:00:00,3066.0
2024-04-17 16:00:00,30510.5
2024-04-17 17:00:00,52665.0
2024-04-17 18:00:00,42348.5
2024-04-17 19:00:00,48719.0
2024-04-17 20:00:00,35929.5
2024-04-17 21:00:00,35235.5
2024-04-17 22:00:00,37965.5
2024-04-17 23:00:00,39496.0
2024-04-18 00:00:00,37777.5
2024-04-18 01:00:00,34661.0
2024-04-18 02:00:00,14230.0
2024-04-18 03:00:00,4164.5
2024-04-18 04:00:00,4457.5
2024-04-18 05:00:00,6011.0
2024-04-18 06:00:00,4771.0
2024-04-18 07:00:00,4515.0
2024-04-18 08:00:00,12855.0
2024-04-18 09:00:00,62712.5
2024-04-18 10:00:00,57648.0
2024-04-18 11:00:00,68663.5
2024-04-18 12:00:00,98222.0
2024-04-18 13:00:00,88622.5
2024-04-18 14:00:00,83754.5
2024-04-18 15:00:00,75809.5
2024-04-18 16:00:00,62779.0
2024-04-18 17:00:00,84985.5
2024-04-18 18:00:00,67484.0
2024-04-18 19:00:00,65130.0
2024-04-18 20:00:00,70117.5
2024-04-18 21:00:00,81406.0
2024-04-18 22:00:00,64230.0
2024-04-18 23:00:00,52159.0
2024-04-19 00:00:00,4479.0
2024-04-19 01:00:00,4981.0
2024-04-19 02:00:00,4319.5
2024-04-19 03:00:00,4517.5
2024-04-19 04:00:00,7093.0
2024-04-19 05:00:00,3866.5
2024-04-19 06:00:00,3220.0
2024-04-19 07:00:00,34110.0
2024-04-19 08:00:00,123122.5
2024-04-19 09:00:00,132898.0
2024-04-19 10:00:00,108311.5
2024-04-19 11:00:00,124831.0
2024-04-19 12:00:00,88067.5
2024-04-19 13:00:00,87794.0
2024-04-19 14:00:00,101952.0
2024-04-19 15:00:00,87427.0
2024-04-19 16:00:00,85249.5
2024-04-19 17:00:00,86336.5
2024-04-19 18:00:00,93591.0
2024-04-19 19:00:00,79960.0
2024-04-19 20:00:00,81639.5
2024-04-19 21:00:00,70338.5
2024-04-19 22:00:00,89554.5
2024-04-19 23:00:00,51115.0
2024-04-20 00:00:00,4291.0
2024-04-20 01:00:00,3061.0
2024-04-20 02:00:00,4850.5
2024-04-20 03:00:00,6576.5
2024-04-20 04:00:00,2189.5
2024-04-20 05:00:00,6636.5
2024-04-20 06:00:00,5071.5
2024-04-20 07:00:00,2761.5
2024-04-20 08:00:00,7177.5
2024-04-20 09:00:00,4243.0
2024-04-20 10:00:00,4055.0
2024-04-20 11:00:00,6983.0
2024-04-20 12:00:00,2381.0
2024-04-20 13:00:00,6230.0
2024-04-20 14:00:00,6014.5
2024-04-20 15:00:00,2399.0
2024-04-20 16:00:00,6740.5
2024-04-20 17:00:00,41138.5
2024-04-20 18:00:00,44813.0
2024-04-20 19:00:00,33458.0
2024-04-20 20:00:00,38121.5
2024-04-20 21:00:00,38950.0
2024-04-20 22:00:00,42613.0
2024-04-20 23:00:00,38140.0
2024-04-21 00:00:00,37866.5
2024-04-21 01:00:00,21309.5
2024-04-21 02:00:00,2337.0
2024-04-21 03:00:00,5928.5
2024-04-21 04:00:00,6227.0
2024-04-21 05:00:00,3193.0
2024-04-21 06:00:00,4876.5
2024-04-21 07:00:00,6429.5
2024-04-21 08:00:00,4478.5
