time,value,place,location,device
2024-05-08 01:00:00,536.1967213114754,class_a,indoor,24e124128c067999
2024-05-08 02:00:00,513.5322580645161,class_a,indoor,24e124128c067999
2024-05-08 03:00:00,503.95,class_a,indoor,24e124128c067999
2024-05-08 04:00:00,505.11475409836066,class_a,indoor,24e124128c067999
2024-05-08 05:00:00,507.65,class_a,indoor,24e124128c067999
2024-05-08 06:00:00,505.9344262295082,class_a,indoor,24e124128c067999
2024-05-08 07:00:00,506.8709677419355,class_a,indoor,24e124128c067999
2024-05-08 08:00:00,515.05,class_a,indoor,24e124128c067999
2024-05-08 09:00:00,536.6984126984127,class_a,indoor,24e124128c067999
2024-05-08 10:00:00,829.2,class_a,indoor,24e124128c067999
2024-05-08 11:00:00,1030.6666666666667,class_a,indoor,24e124128c067999
2024-05-08 12:00:00,1129.4285714285713,class_a,indoor,24e124128c067999
2024-05-08 13:00:00,778.875,class_a,indoor,24e124128c067999
2024-05-08 14:00:00,1020.5238095238095,class_a,indoor,24e124128c067999
2024-05-08 15:00:00,1174.1475409836066,class_a,indoor,24e124128c067999
2024-05-08 16:00:00,1094.5166666666667,class_a,indoor,24e124128c067999
2024-05-08 17:00:00,1045.5846153846153,class_a,indoor,24e124128c067999
2024-05-08 18:00:00,1103.1967213114754,class_a,indoor,24e124128c067999
2024-05-08 19:00:00,978.5967741935484,class_a,indoor,24e124128c067999
2024-05-08 20:00:00,724.578125,class_a,indoor,24e124128c067999
2024-05-08 21:00:00,727.952380952381,class_a,indoor,24e124128c067999
2024-05-08 22:00:00,819.9672131147541,class_a,indoor,24e124128c067999
2024-05-08 23:00:00,788.5,class_a,indoor,24e124128c067999
2024-05-09 00:00:00,701.8387096774194,class_a,indoor,24e124128c067999
