time,value,place,location,device
2024-04-23 00:02:00,152.0,class_a,main,gems-3500
2024-04-23 00:04:00,240.0,class_a,main,gems-3500
2024-04-23 00:06:00,240.5,class_a,main,gems-3500
2024-04-23 00:08:00,238.5,class_a,main,gems-3500
2024-04-23 00:10:00,238.0,class_a,main,gems-3500
2024-04-23 00:12:00,236.0,class_a,main,gems-3500
2024-04-23 00:14:00,240.0,class_a,main,gems-3500
2024-04-23 00:16:00,238.0,class_a,main,gems-3500
2024-04-23 00:18:00,194.0,class_a,main,gems-3500
2024-04-23 00:20:00,147.0,class_a,main,gems-3500
2024-04-23 00:22:00,147.0,class_a,main,gems-3500
2024-04-23 00:24:00,148.5,class_a,main,gems-3500
2024-04-23 00:26:00,146.0,class_a,main,gems-3500
2024-04-23 00:28:00,149.5,class_a,main,gems-3500
2024-04-23 00:30:00,147.0,class_a,main,gems-3500
2024-04-23 00:32:00,148.0,class_a,main,gems-3500
2024-04-23 00:34:00,149.5,class_a,main,gems-3500
2024-04-23 00:36:00,148.0,class_a,main,gems-3500
2024-04-23 00:38:00,147.0,class_a,main,gems-3500
2024-04-23 00:40:00,148.0,class_a,main,gems-3500
2024-04-23 00:42:00,147.0,class_a,main,gems-3500
2024-04-23 00:44:00,148.0,class_a,main,gems-3500
2024-04-23 00:46:00,148.0,class_a,main,gems-3500
2024-04-23 00:48:00,149.5,class_a,main,gems-3500
2024-04-23 00:50:00,148.0,class_a,main,gems-3500
2024-04-23 00:52:00,149.5,class_a,main,gems-3500
2024-04-23 00:54:00,148.5,class_a,main,gems-3500
2024-04-23 00:56:00,147.0,class_a,main,gems-3500
2024-04-23 00:58:00,151.0,class_a,main,gems-3500
2024-04-23 01:00:00,149.5,class_a,main,gems-3500
2024-04-23 01:02:00,147.0,class_a,main,gems-3500
2024-04-23 01:04:00,149.5,class_a,main,gems-3500
2024-04-23 01:06:00,149.5,class_a,main,gems-3500
2024-04-23 01:08:00,149.5,class_a,main,gems-3500
2024-04-23 01:10:00,145.0,class_a,main,gems-3500
2024-04-23 01:12:00,147.0,class_a,main,gems-3500
2024-04-23 01:14:00,147.0,class_a,main,gems-3500
2024-04-23 01:16:00,146.0,class_a,main,gems-3500
2024-04-23 01:18:00,149.5,class_a,main,gems-3500
2024-04-23 01:20:00,147.0,class_a,main,gems-3500
2024-04-23 01:22:00,148.0,class_a,main,gems-3500
2024-04-23 01:24:00,148.5,class_a,main,gems-3500
2024-04-23 01:26:00,147.5,class_a,main,gems-3500
2024-04-23 01:28:00,147.0,class_a,main,gems-3500
2024-04-23 01:30:00,150.5,class_a,main,gems-3500
2024-04-23 01:32:00,147.0,class_a,main,gems-3500
2024-04-23 01:34:00,149.5,class_a,main,gems-3500
2024-04-23 01:36:00,146.0,class_a,main,gems-3500
2024-04-23 01:38:00,149.5,class_a,main,gems-3500
2024-04-23 01:40:00,149.5,class_a,main,gems-3500
2024-04-23 01:42:00,148.0,class_a,main,gems-3500
2024-04-23 01:44:00,147.0,class_a,main,gems-3500
2024-04-23 01:46:00,148.0,class_a,main,gems-3500
2024-04-23 01:48:00,238.5,class_a,main,gems-3500
2024-04-23 01:50:00,242.0,class_a,main,gems-3500
2024-04-23 01:52:00,242.0,class_a,main,gems-3500
2024-04-23 01:54:00,154.5,class_a,main,gems-3500
2024-04-23 01:56:00,153.0,class_a,main,gems-3500
2024-04-23 01:58:00,153.0,class_a,main,gems-3500
2024-04-23 02:00:00,157.5,class_a,main,gems-3500
2024-04-23 02:02:00,153.0,class_a,main,gems-3500
2024-04-23 02:04:00,152.0,class_a,main,gems-3500
2024-04-23 02:06:00,154.5,class_a,main,gems-3500
2024-04-23 02:08:00,154.5,class_a,main,gems-3500
2024-04-23 02:10:00,153.0,class_a,main,gems-3500
2024-04-23 02:12:00,151.0,class_a,main,gems-3500
2024-04-23 02:14:00,154.5,class_a,main,gems-3500
