time,value,place,location,device
2024-04-19 00:02:00,369.8,class_a,main,gems-3500
2024-04-19 00:04:00,369.8,class_a,main,gems-3500
2024-04-19 00:06:00,369.8,class_a,main,gems-3500
2024-04-19 00:08:00,369.8,class_a,main,gems-3500
2024-04-19 00:10:00,369.8,class_a,main,gems-3500
2024-04-19 00:12:00,369.8,class_a,main,gems-3500
2024-04-19 00:14:00,369.8,class_a,main,gems-3500
2024-04-19 00:16:00,369.9,class_a,main,gems-3500
2024-04-19 00:18:00,369.9,class_a,main,gems-3500
2024-04-19 00:20:00,369.9,class_a,main,gems-3500
2024-04-19 00:22:00,369.9,class_a,main,gems-3500
2024-04-19 00:24:00,369.9,class_a,main,gems-3500
2024-04-19 00:26:00,369.9,class_a,main,gems-3500
2024-04-19 00:28:00,369.9,class_a,main,gems-3500
2024-04-19 00:30:00,369.9,class_a,main,gems-3500
2024-04-19 00:32:00,369.9,class_a,main,gems-3500
2024-04-19 00:34:00,369.9,class_a,main,gems-3500
2024-04-19 00:36:00,369.9,class_a,main,gems-3500
2024-04-19 00:38:00,369.9,class_a,main,gems-3500
2024-04-19 00:40:00,369.9,class_a,main,gems-3500
2024-04-19 00:42:00,369.9,class_a,main,gems-3500
2024-04-19 00:44:00,369.9,class_a,main,gems-3500
2024-04-19 00:46:00,369.9,class_a,main,gems-3500
2024-04-19 00:48:00,369.9,class_a,main,gems-3500
2024-04-19 00:50:00,369.9,class_a,main,gems-3500
2024-04-19 00:52:00,369.9,class_a,main,gems-3500
2024-04-19 00:54:00,369.9,class_a,main,gems-3500
2024-04-19 00:56:00,370.0,class_a,main,gems-3500
2024-04-19 00:58:00,370.0,class_a,main,gems-3500
2024-04-19 01:00:00,370.0,class_a,main,gems-3500
2024-04-19 01:02:00,370.0,class_a,main,gems-3500
2024-04-19 01:04:00,370.0,class_a,main,gems-3500
2024-04-19 01:06:00,370.0,class_a,main,gems-3500
2024-04-19 01:08:00,370.0,class_a,main,gems-3500
2024-04-19 01:10:00,370.0,class_a,main,gems-3500
2024-04-19 01:12:00,370.0,class_a,main,gems-3500
2024-04-19 01:14:00,370.0,class_a,main,gems-3500
2024-04-19 01:16:00,370.0,class_a,main,gems-3500
2024-04-19 01:18:00,370.0,class_a,main,gems-3500
2024-04-19 01:20:00,370.0,class_a,main,gems-3500
2024-04-19 01:22:00,370.0,class_a,main,gems-3500
2024-04-19 01:24:00,370.0,class_a,main,gems-3500
2024-04-19 01:26:00,370.0,class_a,main,gems-3500
2024-04-19 01:28:00,370.0,class_a,main,gems-3500
2024-04-19 01:30:00,370.1,class_a,main,gems-3500
2024-04-19 01:32:00,370.1,class_a,main,gems-3500
2024-04-19 01:34:00,370.1,class_a,main,gems-3500
2024-04-19 01:36:00,370.1,class_a,main,gems-3500
2024-04-19 01:38:00,370.1,class_a,main,gems-3500
2024-04-19 01:40:00,370.1,class_a,main,gems-3500
2024-04-19 01:42:00,370.1,class_a,main,gems-3500
2024-04-19 01:44:00,370.1,class_a,main,gems-3500
2024-04-19 01:46:00,370.1,class_a,main,gems-3500
2024-04-19 01:48:00,370.1,class_a,main,gems-3500
2024-04-19 01:50:00,370.1,class_a,main,gems-3500
2024-04-19 01:52:00,370.1,class_a,main,gems-3500
2024-04-19 01:54:00,370.1,class_a,main,gems-3500
2024-04-19 01:56:00,370.1,class_a,main,gems-3500
2024-04-19 01:58:00,370.1,class_a,main,gems-3500
2024-04-19 02:00:00,370.1,class_a,main,gems-3500
2024-04-19 02:02:00,370.1,class_a,main,gems-3500
2024-04-19 02:04:00,370.1,class_a,main,gems-3500
2024-04-19 02:06:00,370.1,class_a,main,gems-3500
2024-04-19 02:08:00,370.15,class_a,main,gems-3500
2024-04-19 02:10:00,370.2,class_a,main,gems-3500
2024-04-19 02:12:00,370.2,class_a,main,gems-3500
2024-04-19 02:14:00,370.2,class_a,main,gems-3500
2024-04-19 02:16:00,370.2,class_a,main,gems-3500
2024-04-19 02:18:00,370.2,class_a,main,gems-3500
2024-04-19 02:20:00,370.2,class_a,main,gems-3500
2024-04-19 02:22:00,370.2,class_a,main,gems-3500
2024-04-19 02:24:00,370.2,class_a,main,gems-3500
2024-04-19 02:26:00,370.2,class_a,main,gems-3500
2024-04-19 02:28:00,370.2,class_a,main,gems-3500
2024-04-19 02:30:00,370.2,class_a,main,gems-3500
2024-04-19 02:32:00,370.2,class_a,main,gems-3500
2024-04-19 02:34:00,370.2,class_a,main,gems-3500
2024-04-19 02:36:00,370.2,class_a,main,gems-3500
2024-04-19 02:38:00,370.2,class_a,main,gems-3500
2024-04-19 02:40:00,370.2,class_a,main,gems-3500
2024-04-19 02:42:00,370.2,class_a,main,gems-3500
2024-04-19 02:44:00,370.2,class_a,main,gems-3500
2024-04-19 02:46:00,370.2,class_a,main,gems-3500
2024-04-19 02:48:00,370.2,class_a,main,gems-3500
2024-04-19 02:50:00,370.25,class_a,main,gems-3500
2024-04-19 02:52:00,370.3,class_a,main,gems-3500
2024-04-19 02:54:00,370.3,class_a,main,gems-3500
2024-04-19 02:56:00,370.3,class_a,main,gems-3500
2024-04-19 02:58:00,370.3,class_a,main,gems-3500
2024-04-19 03:00:00,370.3,class_a,main,gems-3500
2024-04-19 03:02:00,370.3,class_a,main,gems-3500
2024-04-19 03:04:00,370.3,class_a,main,gems-3500
2024-04-19 03:06:00,370.3,class_a,main,gems-3500
2024-04-19 03:08:00,370.3,class_a,main,gems-3500
2024-04-19 03:10:00,370.3,class_a,main,gems-3500
2024-04-19 03:12:00,370.3,class_a,main,gems-3500
2024-04-19 03:14:00,370.3,class_a,main,gems-3500
2024-04-19 03:16:00,370.3,class_a,main,gems-3500
2024-04-19 03:18:00,370.3,class_a,main,gems-3500
2024-04-19 03:20:00,370.3,class_a,main,gems-3500
2024-04-19 03:22:00,370.3,class_a,main,gems-3500
2024-04-19 03:24:00,370.3,class_a,main,gems-3500
2024-04-19 03:26:00,370.3,class_a,main,gems-3500
2024-04-19 03:28:00,370.3,class_a,main,gems-3500
2024-04-19 03:30:00,370.35,class_a,main,gems-3500
2024-04-19 03:32:00,370.4,class_a,main,gems-3500
2024-04-19 03:34:00,370.4,class_a,main,gems-3500
2024-04-19 03:36:00,370.4,class_a,main,gems-3500
2024-04-19 03:38:00,370.4,class_a,main,gems-3500
2024-04-19 03:40:00,370.4,class_a,main,gems-3500
2024-04-19 03:42:00,370.4,class_a,main,gems-3500
2024-04-19 03:44:00,370.4,class_a,main,gems-3500
2024-04-19 03:46:00,370.4,class_a,main,gems-3500
2024-04-19 03:48:00,370.4,class_a,main,gems-3500
2024-04-19 03:50:00,370.4,class_a,main,gems-3500
