time,value,place,location,device
2024-04-24 00:02:00,1217.5,class_a,main,gems-3500
2024-04-24 00:04:00,1298.5,class_a,main,gems-3500
2024-04-24 00:06:00,1294.0,class_a,main,gems-3500
2024-04-24 00:08:00,1295.0,class_a,main,gems-3500
2024-04-24 00:10:00,1233.0,class_a,main,gems-3500
2024-04-24 00:12:00,1369.0,class_a,main,gems-3500
2024-04-24 00:14:00,1401.5,class_a,main,gems-3500
2024-04-24 00:16:00,1182.0,class_a,main,gems-3500
2024-04-24 00:18:00,1376.5,class_a,main,gems-3500
2024-04-24 00:20:00,1403.5,class_a,main,gems-3500
2024-04-24 00:22:00,1373.0,class_a,main,gems-3500
2024-04-24 00:24:00,1409.0,class_a,main,gems-3500
2024-04-24 00:26:00,159.0,class_a,main,gems-3500
2024-04-24 00:28:00,148.5,class_a,main,gems-3500
2024-04-24 00:30:00,147.0,class_a,main,gems-3500
2024-04-24 00:32:00,147.0,class_a,main,gems-3500
2024-04-24 00:34:00,148.5,class_a,main,gems-3500
2024-04-24 00:36:00,148.0,class_a,main,gems-3500
2024-04-24 00:38:00,147.0,class_a,main,gems-3500
2024-04-24 00:40:00,151.0,class_a,main,gems-3500
2024-04-24 00:42:00,149.5,class_a,main,gems-3500
2024-04-24 00:44:00,149.5,class_a,main,gems-3500
2024-04-24 00:46:00,148.0,class_a,main,gems-3500
2024-04-24 00:48:00,151.0,class_a,main,gems-3500
2024-04-24 00:50:00,148.0,class_a,main,gems-3500
2024-04-24 00:52:00,151.0,class_a,main,gems-3500
2024-04-24 00:54:00,74.0,class_a,main,gems-3500
2024-04-24 00:56:00,58.5,class_a,main,gems-3500
2024-04-24 00:58:00,60.5,class_a,main,gems-3500
2024-04-24 01:00:00,60.0,class_a,main,gems-3500
2024-04-24 01:02:00,61.0,class_a,main,gems-3500
2024-04-24 01:04:00,58.5,class_a,main,gems-3500
2024-04-24 01:06:00,60.0,class_a,main,gems-3500
2024-04-24 01:08:00,60.0,class_a,main,gems-3500
2024-04-24 01:10:00,58.0,class_a,main,gems-3500
2024-04-24 01:12:00,57.0,class_a,main,gems-3500
2024-04-24 01:14:00,60.5,class_a,main,gems-3500
2024-04-24 01:16:00,59.0,class_a,main,gems-3500
2024-04-24 01:18:00,61.0,class_a,main,gems-3500
2024-04-24 01:20:00,59.0,class_a,main,gems-3500
2024-04-24 01:22:00,59.0,class_a,main,gems-3500
2024-04-24 01:24:00,61.0,class_a,main,gems-3500
2024-04-24 01:26:00,58.0,class_a,main,gems-3500
2024-04-24 01:28:00,60.5,class_a,main,gems-3500
2024-04-24 01:30:00,59.5,class_a,main,gems-3500
2024-04-24 01:32:00,59.5,class_a,main,gems-3500
2024-04-24 01:34:00,58.5,class_a,main,gems-3500
2024-04-24 01:36:00,58.5,class_a,main,gems-3500
2024-04-24 01:38:00,58.5,class_a,main,gems-3500
2024-04-24 01:40:00,58.0,class_a,main,gems-3500
2024-04-24 01:42:00,58.0,class_a,main,gems-3500
