time,value,place,location,device
2024-04-29 00:02:00,658.0,class_a,indoor,24e124128c067999
2024-04-29 00:04:00,659.0,class_a,indoor,24e124128c067999
2024-04-29 00:06:00,643.0,class_a,indoor,24e124128c067999
2024-04-29 00:08:00,636.0,class_a,indoor,24e124128c067999
2024-04-29 00:10:00,647.0,class_a,indoor,24e124128c067999
2024-04-29 00:12:00,639.5,class_a,indoor,24e124128c067999
2024-04-29 00:14:00,640.5,class_a,indoor,24e124128c067999
2024-04-29 00:16:00,644.0,class_a,indoor,24e124128c067999
2024-04-29 00:18:00,641.5,class_a,indoor,24e124128c067999
2024-04-29 00:20:00,640.5,class_a,indoor,24e124128c067999
2024-04-29 00:22:00,641.0,class_a,indoor,24e124128c067999
2024-04-29 00:24:00,636.5,class_a,indoor,24e124128c067999
2024-04-29 00:26:00,630.5,class_a,indoor,24e124128c067999
2024-04-29 00:28:00,643.3333333333334,class_a,indoor,24e124128c067999
2024-04-29 00:30:00,636.5,class_a,indoor,24e124128c067999
2024-04-29 00:32:00,625.0,class_a,indoor,24e124128c067999
2024-04-29 00:34:00,626.0,class_a,indoor,24e124128c067999
2024-04-29 00:36:00,641.5,class_a,indoor,24e124128c067999
2024-04-29 00:38:00,643.0,class_a,indoor,24e124128c067999
2024-04-29 00:40:00,629.5,class_a,indoor,24e124128c067999
2024-04-29 00:42:00,636.0,class_a,indoor,24e124128c067999
2024-04-29 00:44:00,623.0,class_a,indoor,24e124128c067999
2024-04-29 00:46:00,619.0,class_a,indoor,24e124128c067999
2024-04-29 00:48:00,630.0,class_a,indoor,24e124128c067999
2024-04-29 00:50:00,626.5,class_a,indoor,24e124128c067999
2024-04-29 00:52:00,609.0,class_a,indoor,24e124128c067999
2024-04-29 00:54:00,621.5,class_a,indoor,24e124128c067999
2024-04-29 00:56:00,623.5,class_a,indoor,24e124128c067999
2024-04-29 00:58:00,603.5,class_a,indoor,24e124128c067999
2024-04-29 01:00:00,609.0,class_a,indoor,24e124128c067999
2024-04-29 01:02:00,613.0,class_a,indoor,24e124128c067999
2024-04-29 01:04:00,609.5,class_a,indoor,24e124128c067999
2024-04-29 01:06:00,607.0,class_a,indoor,24e124128c067999
2024-04-29 01:08:00,616.0,class_a,indoor,24e124128c067999
2024-04-29 01:10:00,619.0,class_a,indoor,24e124128c067999
2024-04-29 01:12:00,615.0,class_a,indoor,24e124128c067999
2024-04-29 01:14:00,623.0,class_a,indoor,24e124128c067999
2024-04-29 01:16:00,625.5,class_a,indoor,24e124128c067999
2024-04-29 01:18:00,620.0,class_a,indoor,24e124128c067999
2024-04-29 01:20:00,614.0,class_a,indoor,24e124128c067999
2024-04-29 01:22:00,613.5,class_a,indoor,24e124128c067999
2024-04-29 01:24:00,611.0,class_a,indoor,24e124128c067999
2024-04-29 01:26:00,611.5,class_a,indoor,24e124128c067999
2024-04-29 01:28:00,616.5,class_a,indoor,24e124128c067999
2024-04-29 01:30:00,612.5,class_a,indoor,24e124128c067999
2024-04-29 01:32:00,605.0,class_a,indoor,24e124128c067999
2024-04-29 01:34:00,607.0,class_a,indoor,24e124128c067999
2024-04-29 01:36:00,606.0,class_a,indoor,24e124128c067999
2024-04-29 01:38:00,610.0,class_a,indoor,24e124128c067999
2024-04-29 01:40:00,612.5,class_a,indoor,24e124128c067999
2024-04-29 01:42:00,613.5,class_a,indoor,24e124128c067999
2024-04-29 01:44:00,612.0,class_a,indoor,24e124128c067999
2024-04-29 01:46:00,602.5,class_a,indoor,24e124128c067999
2024-04-29 01:48:00,609.5,class_a,indoor,24e124128c067999
2024-04-29 01:50:00,609.5,class_a,indoor,24e124128c067999
2024-04-29 01:52:00,605.5,class_a,indoor,24e124128c067999
2024-04-29 01:54:00,613.5,class_a,indoor,24e124128c067999
2024-04-29 01:56:00,609.0,class_a,indoor,24e124128c067999
2024-04-29 01:58:00,602.0,class_a,indoor,24e124128c067999
2024-04-29 02:00:00,599.0,class_a,indoor,24e124128c067999
2024-04-29 02:02:00,597.5,class_a,indoor,24e124128c067999
2024-04-29 02:04:00,604.5,class_a,indoor,24e124128c067999
2024-04-29 02:06:00,600.5,class_a,indoor,24e124128c067999
2024-04-29 02:08:00,588.5,class_a,indoor,24e124128c067999
2024-04-29 02:10:00,594.5,class_a,indoor,24e124128c067999
2024-04-29 02:12:00,601.0,class_a,indoor,24e124128c067999
